,(S)-Methylmalonyl-CoA,3-methyl-Acetoacetyl-CoA,3-methyl-But-2-enoyl-CoA,3-methyl-Butanoyl-CoA,3-methyl-Heptane,3-methyl-Hexanoyl-CoA,3-methyl-Octanoic acid,3-methyl-Octanoyl-CoA,3-methyl-Oxohexanoyl-CoA,3-methyl-Oxooctanoyl-CoA,3-methyl-trans-hex-2-enoyl-CoA,3-methyl-trans-oct-2-enoyl-CoA,3R-3-methyl-3-Hydroxybutanoyl-CoA,ADP,ATP,Acetyl-CoA,CO2,CoA,H2O,HCO3-,Hplus,Malonyl-CoA,NADH,NADPH,NADPplus,NADplus,Orthophosphate,Propionyl-CoA,Pyruvate,S-3-methyl-Hydroxyhexanoyl-CoA,S-3-methyl-Hydroxyoctanoyl-CoA,
,Intermediate,Intermediate,Intermediate,Intermediate,Target,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Input/Output,Input,Intermediate,Input/Output,Input/Output,Input/Output,Input/Output,Input/Output,Intermediate,Input,Intermediate,Input/Output,Input/Output,Input/Output,Input/Output,Intermediate,Intermediate,Intermediate,
6*HCO3- + 10*ATP + 12*NADH → 2*Pyruvate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,-6,0,0,-12,0,0,0,0,0,2,0,0,,
2*Pyruvate → 2*Acetyl-CoA + 2*NADH + 2*CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,-2,0,0,,
Propionyl-CoA + CO2 → (S)-Methylmalonyl-CoA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,
CO2 + H2O → HCO3- + Hplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,,
ATP + Acetyl-CoA + HCO3- → ADP + Orthophosphate + Malonyl-CoA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,-1,0,1,0,0,0,0,1,0,0,0,0,,
Acetyl-CoA + (S)-Methylmalonyl-CoA → 3-methyl-Acetoacetyl-CoA + CO2 + CoA,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3-methyl-Acetoacetyl-CoA + NADPH + Hplus → 3R-3-methyl-3-Hydroxybutanoyl-CoA + NADPplus,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,,
3R-3-methyl-3-Hydroxybutanoyl-CoA → 3-methyl-But-2-enoyl-CoA + H2O,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
3-methyl-But-2-enoyl-CoA + NADPH + Hplus → 3-methyl-Butanoyl-CoA + NADPplus,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,,
Malonyl-CoA + 3-methyl-Butanoyl-CoA → CoA + CO2 + 3-methyl-Oxohexanoyl-CoA,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,
3-methyl-Oxohexanoyl-CoA + NADH + Hplus → S-3-methyl-Hydroxyhexanoyl-CoA + NADplus,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,1,0,,
S-3-methyl-Hydroxyhexanoyl-CoA → 3-methyl-trans-hex-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,,
3-methyl-trans-hex-2-enoyl-CoA + NADPH + Hplus → 3-methyl-Hexanoyl-CoA + NADPplus,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,,
Malonyl-CoA + 3-methyl-Hexanoyl-CoA → CoA + CO2 + 3-methyl-Oxooctanoyl-CoA,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,
3-methyl-Oxooctanoyl-CoA + NADH + Hplus → S-3-methyl-Hydroxyoctanoyl-CoA + NADplus,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,1,,
