,(S)-Methylmalonyl-CoA,3-methyl-Hexane,3R-4-methyl-3-Hydroxypentanoyl-CoA,4-methyl-Heptanoic acid,4-methyl-Heptanoyl-CoA,4-methyl-Oxoheptanoyl-CoA,4-methyl-Pent-2-enoyl-CoA,4-methyl-Pentanoyl-CoA,4-methyl-trans-hept-2-enoyl-CoA,5-4-methyl-Acetoacetyl-CoA,ADP,ATP,Acetyl-CoA,CO2,CoA,H2O,HCO3-,Hplus,Malonyl-CoA,NADH,NADPH,NADPplus,NADplus,Orthophosphate,Propionyl-CoA,Pyruvate,S-4-methyl-Hydroxyheptanoyl-CoA,
,Intermediate,Target,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Input/Output,Input,Intermediate,Input/Output,Input/Output,Input/Output,Intermediate,Input/Output,Intermediate,Input,Intermediate,Input/Output,Input/Output,Input/Output,Intermediate,Intermediate,Intermediate,
2*CO2 + 7*ATP + 4*NADH + 1*CoA → 1*Acetyl-CoA,0,0,0,0,0,0,0,0,0,0,0,-7,1,-2,-1,0,0,0,0,-4,0,0,0,0,0,0,0,,
3*CO2 + 7*ATP + 5*NADH → 1*Pyruvate,0,0,0,0,0,0,0,0,0,0,0,-7,0,-3,0,0,0,0,0,-5,0,0,0,0,0,1,0,,
3*CO2 + 7*ATP + 7*NADH + CoA → Propionyl-CoA,0,0,0,0,0,0,0,0,0,0,0,-7,0,-3,-1,0,0,0,0,-7,0,0,0,0,1,0,0,,
Propionyl-CoA + CO2 → (S)-Methylmalonyl-CoA,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,,
CO2 + H2O → HCO3- + Hplus,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,1,0,0,0,0,0,0,0,0,0,,
ATP + Acetyl-CoA + HCO3- → ADP + Orthophosphate + Malonyl-CoA,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,-1,0,1,0,0,0,0,1,0,0,0,,
Propionyl-CoA + (S)-Methylmalonyl-CoA → 5-4-methyl-Acetoacetyl-CoA + CO2 + CoA,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-1,0,0,,
5-4-methyl-Acetoacetyl-CoA + NADPH + Hplus → 3R-4-methyl-3-Hydroxypentanoyl-CoA + NADPplus,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,,
3R-4-methyl-3-Hydroxypentanoyl-CoA → 4-methyl-Pent-2-enoyl-CoA + H2O,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
4-methyl-Pent-2-enoyl-CoA + NADPH + Hplus → 4-methyl-Pentanoyl-CoA + NADPplus,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,,
Malonyl-CoA + 4-methyl-Pentanoyl-CoA → CoA + CO2 + 4-methyl-Oxoheptanoyl-CoA,0,0,0,0,0,1,0,-1,0,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,,
4-methyl-Oxoheptanoyl-CoA + NADH + Hplus → S-4-methyl-Hydroxyheptanoyl-CoA + NADplus,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,1,,
S-4-methyl-Hydroxyheptanoyl-CoA → 4-methyl-trans-hept-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,,
4-methyl-trans-hept-2-enoyl-CoA + NADPH + Hplus → 4-methyl-Heptanoyl-CoA + NADPplus,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,,
4-methyl-Heptanoyl-CoA + H2O → CoA + 4-methyl-Heptanoic acid,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,,
4-methyl-Heptanoic acid → CO2 + 3-methyl-Hexane,0,1,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NADH + NADPplus → NADPH + NADplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,0,,
