,(R)-2,3-Dihydroxy-3-methylpentanoate,(R)-2-Methylmalate,(R)-3-Hydroxy-3-methyl-2-oxopentanoate,(S)-2-Aceto-2-hydroxybutanoate,(S)-3-Methyl-2-oxopentanoic acid,2-Methylmaleate,2-Oxobutanoate,2_Methyl_1_hydroxybutyl_ThPP,ATP,Acetyl-CoA,CO2,CoA,D-erythro-3-Methylmalate,Dihydrolipoyllysine_residue_2_methylpropanoyl_transferase S_2_methylbutanoyl_dihydrolipoyllysine,Enzyme N6_(lipoyl)lysine,Enzyme N6_dihydrolipoyl_lysine,H2O,HCO3-,NADH,NADPH,NADPplus,NADplus,Pyruvate,S_2_Methylbutanoyl_CoA,Thiamin diphosphate,
,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Input,Intermediate,Input/Output,Input/Output,Intermediate,Intermediate,Input,Input/Output,Input/Output,Input/Output,Input,Intermediate,Input/Output,Input/Output,Intermediate,Target,Input/Output,
6*HCO3- + 10*ATP + 10*NADH → 2*Pyruvate,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,-6,-10,0,0,0,2,0,0,,
2*Pyruvate → 2*Acetyl-CoA + 2*NADH + 2*CO2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,-2,0,0,,
Acetyl-CoA + Pyruvate + H2O → (R)-2-Methylmalate,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,,
(R)-2-Methylmalate → 2-Methylmaleate + H2O,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
2-Methylmaleate + H2O → D-erythro-3-Methylmalate,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,,
D-erythro-3-Methylmalate → 2-Oxobutanoate + CO2 + NADH,0,0,0,0,0,0,1,0,0,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,,
Pyruvate + 2-Oxobutanoate → (S)-2-Aceto-2-hydroxybutanoate + CO2,0,0,0,1,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,,
(S)-2-Aceto-2-hydroxybutanoate → (R)-3-Hydroxy-3-methyl-2-oxopentanoate,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
(R)-3-Hydroxy-3-methyl-2-oxopentanoate + NADH →(R)-2,3-Dihydroxy-3-methylpentanoate,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,,
(R)-2,3-Dihydroxy-3-methylpentanoate → (S)-3-Methyl-2-oxopentanoic acid + H2O,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
(S)-3-Methyl-2-oxopentanoic acid + Thiamin diphosphate → 2_Methyl_1_hydroxybutyl_ThPP + CO2,0,0,0,0,-1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,
2_Methyl_1_hydroxybutyl_ThPP + Enzyme N6_(lipoyl)lysine → Dihydrolipoyllysine_residue_2_methylpropanoyl_transferase S_2_methylbutanoyl_dihydrolipoyllysine + Thiamin diphosphate,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,,
CoA + Dihydrolipoyllysine_residue_2_methylpropanoyl_transferase S_2_methylbutanoyl_dihydrolipoyllysine → S_2_Methylbutanoyl_CoA + Enzyme N6_dihydrolipoyl_lysine,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,1,0,0,0,0,0,0,0,1,0,,
NADH + NADPplus → NADPH + NADplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,,
