,(2R,3S)-3-Isopropylmalate,(2S)-2-Isopropyl-3-oxosuccinate,(R)-2,3-Dihydroxy-3-methylbutanoate,(S)-2-Acetolactate,2-Isopropylmaleate,3-Hydroxy-3-methyl-2-oxobutanoic acid,3-Methyl-2-oxobutanoic acid,3_Methyl_1_hydroxybutyl_ThPP,3_Methylbutanoyl_CoA,4-Methyl-2-oxopentanoate,ATP,Acetyl-CoA,CO2,CoA,Dihydrolipoyllysine_residue_2_methylpropanoyl_transferase S_3_methylbutanoyl_dihydrolipoyllysine,Enzyme N6_dihydrolipoyl_lysine,Enzyme N6_lipoyl_lysine,HCO3-,NADH,NADPH,NADPplus,NADplus,Pyruvate,Thiamin diphosphate,alpha-Isopropylmalate,
,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Target,Intermediate,Input,Intermediate,Input/Output,Input/Output,Intermediate,Input/Output,Input,Input/Output,Input,Intermediate,Input/Output,Input/Output,Intermediate,Input/Output,Intermediate,
6*HCO3- + 10*ATP + 12*NADH → 2*Pyruvate,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,-6,-12,0,0,0,2,0,0,,
2*Pyruvate → 2*Acetyl-CoA + 2*NADH + 2*CO2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,-2,0,0,,
2*Pyruvate → (S)-2-Acetolactate + CO2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-2,0,0,,
(S)-2-Acetolactate → 3-Hydroxy-3-methyl-2-oxobutanoic acid,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3-Hydroxy-3-methyl-2-oxobutanoic acid + NADPH → (R)-2,3-Dihydroxy-3-methylbutanoate,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,,
(R)-2,3-Dihydroxy-3-methylbutanoate → 3-Methyl-2-oxobutanoic acid,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Acetyl-CoA + 3-Methyl-2-oxobutanoic acid → alpha-Isopropylmalate,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,,
alpha-Isopropylmalate → 2-Isopropylmaleate,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,
2-Isopropylmaleate → (2R,3S)-3-Isopropylmalate,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
(2R,3S)-3-Isopropylmalate → (2S)-2-Isopropyl-3-oxosuccinate + NADH,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
(2S)-2-Isopropyl-3-oxosuccinate → 4-Methyl-2-oxopentanoate + CO2,0,-1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
4-Methyl-2-oxopentanoate + Thiamin diphosphate → 3_Methyl_1_hydroxybutyl_ThPP + CO2,0,0,0,0,0,0,0,1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,,
3_Methyl_1_hydroxybutyl_ThPP + Enzyme N6_lipoyl_lysine → Dihydrolipoyllysine_residue_2_methylpropanoyl_transferase S_3_methylbutanoyl_dihydrolipoyllysine + Thiamin diphosphate,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,,
CoA + Dihydrolipoyllysine_residue_2_methylpropanoyl_transferase S_3_methylbutanoyl_dihydrolipoyllysine → 3_Methylbutanoyl_CoA + Enzyme N6_dihydrolipoyl_lysine,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,,
NADH + NADPplus → NADPH + NADplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,,
