,(R)-2,3-Dihydroxy-3-methylbutanoate,(S)-2-Acetolactate,2_Methyl_1_hydroxypropyl_ThPP,2_Methylpropanoyl_CoA,3-Hydroxy-3-methyl-2-oxobutanoic acid,3-Methyl-2-oxobutanoic acid,ATP,Acetyl-CoA,CO2,CoA,Dihydrolipoyllysine_residue_2_methylpropanoyl_transferase S_2_methylpropanoyl_dihydrolipoyllysine,Enzyme N6_dihydrolipoyl_lysine,Enzyme N6_lipoyl_lysine,HCO3-,NADH,NADPH,NADPplus,NADplus,Pyruvate,Thiamin diphosphate,
,Intermediate,Intermediate,Intermediate,Target,Intermediate,Intermediate,Input,Intermediate,Input/Output,Input/Output,Intermediate,Input/Output,Input,Input/Output,Input,Intermediate,Input/Output,Input/Output,Intermediate,Input/Output,
6*HCO3- + 10*ATP + 10*NADH → 2*Pyruvate,0,0,0,0,0,0,-10,0,0,0,0,0,0,-6,-10,0,0,0,2,0,,
2*Pyruvate → 2*Acetyl-CoA + 2*NADH + 2*CO2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,-2,0,,
2*Pyruvate → (S)-2-Acetolactate + CO2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-2,0,,
(S)-2-Acetolactate → 3-Hydroxy-3-methyl-2-oxobutanoic acid,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3-Hydroxy-3-methyl-2-oxobutanoic acid + NADPH → (R)-2,3-Dihydroxy-3-methylbutanoate,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,,
(R)-2,3-Dihydroxy-3-methylbutanoate → 3-Methyl-2-oxobutanoic acid,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3-Methyl-2-oxobutanoic acid + Thiamin diphosphate → 2_Methyl_1_hydroxypropyl_ThPP + CO2,0,0,1,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,,
2_Methyl_1_hydroxypropyl_ThPP + Enzyme N6_lipoyl_lysine → Dihydrolipoyllysine_residue_2_methylpropanoyl_transferase S_2_methylpropanoyl_dihydrolipoyllysine + Thiamin diphosphate,0,0,-1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,,
CoA + Dihydrolipoyllysine_residue_2_methylpropanoyl_transferase S_2_methylpropanoyl_dihydrolipoyllysine → 2_Methylpropanoyl_CoA + Enzyme N6_dihydrolipoyl_lysine,0,0,0,1,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,,
NADH + NADPplus → NADPH + NADplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,,
