,3-OxoFAanoyl-CoA,3R-3-Hydroxybutanoyl-CoA,ADP,ATP,Acetoacetyl-CoA,Acetyl-CoA,But-2-enoyl-CoA,CO2,CoA,FABaseoyl-CoA,FAacid,FAanoyl-CoA,H2O,HCO3minus,Hplus,Malonyl-CoA,NADH,NADPH,NADPplus,NADplus,Orthophosphate,Propionyl-CoA,Pyruvate,S-HydroxyFAanoyl-CoA,trans-FA-2-enoyl-CoA,
,Intermediate,Intermediate,Input/Output,Input,Intermediate,Intermediate,Intermediate,Input/Output,Input/Output,Intermediate,Target,Intermediate,Input/Output,Input/Output,Input/Output,Intermediate,Input,Input/Output,Input/Output,Input/Output,Input/Output,Intermediate,Intermediate,Intermediate,Intermediate,
2*CO2 + 7*ATP + 4*NADH + 1*CoA → 1*Acetyl-CoA,0,0,0,-7,0,1,0,-2,-1,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,,
3*CO2 + 7*ATP + 5*NADH → 1*Pyruvate,0,0,0,-7,0,0,0,-3,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,1,0,0,,
3*CO2 + 7*ATP + 7*NADH + CoA → Propionyl-CoA,0,0,0,-7,0,0,0,-3,-1,0,0,0,0,0,0,0,-7,0,0,0,0,1,0,0,0,,
ATP + Acetyl-CoA + HCO3minus → ADP + Orthophosphate + Malonyl-CoA,0,0,1,-1,0,-1,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,1,0,0,0,0,,
Acetyl-CoA + Malonyl-CoA → Acetoacetyl-CoA + CO2 + CoA,0,0,0,0,1,-1,0,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,,
Acetoacetyl-CoA + NADPH +Hplus → 3R-3-Hydroxybutanoyl-CoA + NADPplus,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,,
3R-3-Hydroxybutanoyl-CoA → But-2-enoyl-CoA + H2O,0,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
But-2-enoyl-CoA + NADPH + Hplus → FABaseoyl-CoA + NADPplus,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,,
Acetyl-CoA + FABaseoyl-CoA → CoA + 3-OxoFAanoyl-CoA,1,0,0,0,0,-1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3-OxoFAanoyl-CoA + NADH + Hplus → S-HydroxyFAanoyl-CoA + NADplus,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,1,0,,
S-HydroxyFAanoyl-CoA → trans-FA-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,1,,
2*trans-FA-2-enoyl-CoA + 2*NADPH + 2*Hplus → FAanoyl-CoA + 2*NADPplus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,0,0,-2,2,0,0,0,0,0,-2,,
FAanoyl-CoA + H2O → CoA + FAacid,0,0,0,0,0,0,0,0,1,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,,
