"(S)-Methylmalonyl-CoA",Intermediate
"3-methyl-Oxoheptanoyl-CoA",Intermediate
"3R-3-methyl-Hydroxypentanoyl-CoA",Intermediate
"5-3-methyl-Acetoacetyl-CoA",Intermediate
"ADP",Input/Output
"ATP",Input
"Acetyl-CoA",Input/Output
"3-methyl-Pent-2-enoyl-CoA",Intermediate
"3-methyl-Pentanoyl-CoA",Intermediate
"CO2",Input/Output
"CoA",Input/Output
"H2O",Input/Output
"HCO3-",Intermediate
"3-methyl-Hexane",Target
"3-methyl-Heptanoic acid",Intermediate
"3-methyl-Heptanoyl-CoA",Intermediate
"Hplus",Input/Output
"Malonyl-CoA",Intermediate
"NADH",Input
"NADPH",Intermediate
"NADPplus",Input/Output
"NADplus",Input/Output
"Orthophosphate",Input/Output
"Propionyl-CoA",Input/Output
"S-3-methyl-Hydroxyheptanoyl-CoA",Intermediate
"3-methyl-trans-hept-2-enoyl-CoA",Intermediate
