"3-Oxoheptanoyl-CoA",Intermediate
"3-Oxoheptadecanoyl-CoA",Intermediate
"3-Oxononanoyl-CoA",Intermediate
"3-Oxoundecanoyl-CoA",Intermediate
"3-Oxotridecanoyl-CoA",Intermediate
"3-Oxopentadecanoyl-CoA",Intermediate
"5-Acetoacetyl-CoA",Intermediate
"3R-3-Hydroxypentanoyl-CoA",Intermediate
"ADP",Input/Output
"ATP",Input
"Acetyl-CoA",Input/Output
"Pent-2-enoyl-CoA",Intermediate
"Pentanoyl-CoA",Intermediate
"CO2",Input/Output
"CoA",Input/Output
"H2O",Input/Output
"HCO3-",Intermediate
"Heptanoyl-CoA",Intermediate
"Hexadecane",Target
"Hplus",Input/Output
"Malonyl-CoA",Intermediate
"NADH",Input
"NADPH",Intermediate
"NADPplus",Input/Output
"NADplus",Input/Output
"Nonanoyl-CoA",Intermediate
"Orthophosphate",Input/Outpu
"Pentadecanoyl-CoA",Intermediate
"Propionyl-CoA",Input/Output
"S-Hydroxyheptanoyl-CoA",Intermediate
"S-Hydroxyheptadecanoyl-CoA",Intermediate
"S-Hydroxynonanoyl-CoA",Intermediate
"S-Hydroxyundecanoyl-CoA",Intermediate
"S-Hydroxytridecanoyl-CoA",Intermediate
"S-Hydroxypentadecanoyl-CoA",Intermediate
"Tetradecane",Target
"Tetradecanoic acid",Intermediate
"trans-hept-2-enoyl-CoA",Intermediate
"trans-non-2-enoyl-CoA",Intermediate
"trans-pentadec-2-enoyl-CoA",Intermediate
"trans-tridec-2-enoyl-CoA",Intermediate
"trans-undec-2-enoyl-CoA",Intermediate
"Tridecanoyl-CoA",Intermediate
"Undecanoyl-CoA",Intermediate
"Oxygen",Input/Output
"Heptadecanal",Intermediate
"Formate",Intermediate
