"3-Oxoheptanoyl-CoA",Intermediate
"3R-3-Hydroxypentanoyl-CoA",Intermediate
"5-Acetoacetyl-CoA",Intermediate
"ADP",Input/Output
"ATP",Input
"Acetyl-CoA",Input/Output
"Pent-2-enoyl-CoA",Intermediate
"Pentanoyl-CoA",Intermediate
"CO2",Input/Output
"CoA",Input/Output
"H2O",Input/Output
"HCO3-",Intermediate
"Hexane",Target
"Heptanoic acid",Intermediate
"Heptanoyl-CoA",Intermediate
"Hplus",Input/Output
"Malonyl-CoA",Intermediate
"NADH",Input
"NADPH",Intermediate
"NADPplus",Input/Output
"NADplus",Input/Output
"Orthophosphate",Input/Output
"Propionyl-CoA",Input/Output
"S-Hydroxyheptanoyl-CoA",Intermediate
"trans-hept-2-enoyl-CoA",Intermediate
"Oxygen",Input/Output
"Heptanal",Intermediate
"Formate",Intermediate
