"3-OxoFAanoyl-CoA",Intermediate
"3R-3-Hydroxybutanoyl-CoA",Intermediate
"ADP",Intermediate
"ATP",Input
"Acetoacetyl-CoA",Intermediate
"Acetyl-CoA",Intermediate
"But-2-enoyl-CoA",Intermediate
"CO2",Input/Output
"CoA",Intermediate
"FABaseoyl-CoA",Intermediate
"FAacid",Intermediate
"FAanoyl-CoA",Intermediate
"H2O",Input/Output
"HCO3minus",Intermediate
"Hplus",Intermediate
"Malonyl-CoA",Intermediate
"NADH",Input
"NADPH",Intermediate
"NADPplus",Intermediate
"NADplus",Intermediate
"Orthophosphate",Intermediate
"S-HydroxyFAanoyl-CoA",Intermediate
"trans-FA-2-enoyl-CoA",Intermediate
