"ADP",Intermediate
"ATP",Input
"Acetoacetyl-CoA",Intermediate
"Acetyl-CoA",Intermediate
"CO2",Input/Output
"CoA",Intermediate
"Dimethylallyl diphosphate",Intermediate
"Geraniol",Intermediate
"Geranyl diphosphate",Intermediate
"H2O",Input/Output
"HMG-CoA",Intermediate
"Hplus",Intermediate
"Isopentanyl diphosphate",Intermediate
"Mevalonate",Intermediate
"Mevalonate-5-diphosphate",Intermediate
"Mevalonate-5-phosphate",Intermediate
"NADH",Input
"NADPH",Intermediate
"NADPplus",Intermediate
"NADplus",Intermediate
"Orthophosphate",Intermediate
"diphosphate",Intermediate
