"3-Oxohexanoyl-CoA",Intermediate
"3R-3-Hydroxybutanoyl-CoA",Intermediate
"ADP",Intermediate
"ATP",Input
"Acetoacetyl-CoA",Intermediate
"Acetyl-CoA",Intermediate
"But-2-enoyl-CoA",Intermediate
"Butanoyl-CoA",Intermediate
"CO2",Input/Output
"CoA",Intermediate
"H2O",Input/Output
"HCO3-",Input/Output
"Heptane",Intermediate
"Hexanoic acid",Intermediate
"Hexanoyl-CoA",Intermediate
"Hplus",Intermediate
"Malonyl-CoA",Intermediate
"NADH",Input
"NADPH",Intermediate
"NADPplus",Intermediate
"NADplus",Intermediate
"Orthophosphate",Intermediate
"Propionyl-CoA",Intermediate
"S-Hydroxyhexanoyl-CoA",Intermediate
"trans-hex-2-enoyl-CoA",Intermediate
