Scenario Nickname,Scenario,Bargraph Label,"Number of ATPs, nf, ATP","Number of NAD(P)H, nf, NADH","Number of Ferredoxin (Fd), nf, Fd","Energy Density of Fuel Molecule (J molecule-1), Efuel",Molecular Weight (g),Input Solar Power (W),Total Available Electrical Power (W),Stirring Power (W),CO2 Fixation Method,Electrode to Microbe Mediator,Bio-cell Anode Half-reaction Thermodynamic Potential (V vs. SHE),Bio-cell Anode Half-reaction Bias Voltage (V),Bio-cell Cathode Half-reaction Thermodynamic Potential (V vs. SHE),Bio-cell Cathode Half-reaction Bias Voltage (V vs. SHE),"Bio-cell Voltage (V), ΔV2","Membrane Potential (mV), ΔVmembrane","Acceptor Voltage (V vs. SHE), Vacceptor","Menaquinone Voltage (V. vs. SHE), VQ","Mtr Complex Voltage (V vs. SHE), VMtr",Scale for Dependent Variable,Scale for Independent Variable,"Scale Up Mode (Simple, Stirring with Fixed Density, None, Diffusion with Fixed Density)"
Nickname,Scenario,BargraphLabel,ATPforFuel,NADHforFuel,FdForFuel,energyPerFuelMolecule,molecularWeightFuelMolecule,totalInputPower,totalElectricalPower,stirPower,CO2Method,Mediator,voltageCellTwoAnode,voltageCellTwoAnodeBias,voltageCellTwoCathode,voltageCellTwoCathodeBias,voltageCellTwo,voltageMembrane,vAcceptor,vQuinone,vMtr,dependentVariableScale,independentVariableScale,scaleUpMode
Nonane_CBB_EEU,Nonane_CBB_EEU,Nonane_CBB_EEU,30.988026843308300,24.987328908578900,0,1.02E-17,128.25,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Decane_CBB_EEU,Decane_CBB_EEU,Decane_CBB_EEU,39.01408038089830,28.008056158642100,0,1.13E-17,142.275,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Undecane_CBB_EEU,Undecane_CBB_EEU,Undecane_CBB_EEU,39.01411144672120,31.011640722233400,0,1.23E-17,156.3,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Dodecane_CBB_EEU,Dodecane_CBB_EEU,Dodecane_CBB_EEU,47.008953000732400,34.00876525756550,0,1.31E-17,170.325,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Tridecane_CBB_EEU,Tridecane_CBB_EEU,Tridecane_CBB_EEU,46.99450173828010,36.99882847738500,0,1.45E-17,184.35,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Tetradecane_CBB_EEU,Tetradecane_CBB_EEU,Tetradecane_CBB_EEU,54.75472864583740,39.81637977277090,0,1.56E-17,198.375,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Nonane2_CBB_EEU,Nonane_CBB_EEU,Nonane_CBB_EEU,30.988026843308300,27.990690582215900,0,1.02E-17,128.25,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Decane2_CBB_EEU,Decane_CBB_EEU,Decane_CBB_EEU,39.01408038089830,31.031135582676000,0,1.13E-17,142.275,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Undecane2_CBB_EEU,Undecane_CBB_EEU,Undecane_CBB_EEU,39.01411144672120,34.004055665865000,0,1.23E-17,156.3,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Dodecane2_CBB_EEU,Dodecane_CBB_EEU,Dodecane_CBB_EEU,47.008953000732400,37.00179399530410,0,1.31E-17,170.325,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Tridecane2_CBB_EEU,Tridecane_CBB_EEU,Tridecane_CBB_EEU,46.99450173828010,40.00683767152230,0,1.45E-17,184.35,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Tetradecane2_CBB_EEU,Tetradecane_CBB_EEU,Tetradecane_CBB_EEU,54.75472864583740,43.08011277346140,0,1.56E-17,198.375,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Nonane_CBB_H2,Nonane_CBB_H3,Nonane_CBB_H4,30.989757234625400,24.987328908578900,0,1.02E-17,128.25,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Decane_CBB_H2,Decane_CBB_H3,Decane_CBB_H4,39.04159427295550,28.008056158642100,0,1.13E-17,142.275,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Undecane_CBB_H2,Undecane_CBB_H2,Undecane_CBB_H2,39.00441550296050,31.011640722233400,0,1.23E-17,156.3,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Dodecane_CBB_H2,Dodecane_CBB_H2,Dodecane_CBB_H2,47.00256468450240,34.00876525756550,0,1.31E-17,170.325,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Tridecane_CBB_H2,Tridecane_CBB_H2,Tridecane_CBB_H2,47.01133917164870,36.99882847738500,0,1.45E-17,184.35,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Tetradecane_CBB_H2,Tetradecane_CBB_H2,Tetradecane_CBB_H2,55.09778433510520,39.81637977277090,0,1.56E-17,198.375,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Nonane2_CBB_H2,Nonane_CBB_H3,Nonane_CBB_H4,30.989757234625400,27.990690582215900,0,1.02E-17,128.25,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Decane2_CBB_H2,Decane_CBB_H3,Decane_CBB_H4,39.04159427295550,31.031135582676000,0,1.13E-17,142.275,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
