Scenario Nickname,Scenario,Bargraph Label,"Number of ATPs, nf, ATP","Number of NAD(P)H, nf, NADH","Number of Ferredoxin (Fd), nf, Fd","Energy Density of Fuel Molecule (J molecule-1), Efuel",Molecular Weight (g),Input Solar Power (W),Total Available Electrical Power (W),Stirring Power (W),CO2 Fixation Method,Electrode to Microbe Mediator,Bio-cell Anode Half-reaction Thermodynamic Potential (V vs. SHE),Bio-cell Anode Half-reaction Bias Voltage (V),Bio-cell Cathode Half-reaction Thermodynamic Potential (V vs. SHE),Bio-cell Cathode Half-reaction Bias Voltage (V vs. SHE),"Bio-cell Voltage (V), ΔV2","Membrane Potential (mV), ΔVmembrane","Acceptor Voltage (V vs. SHE), Vacceptor","Menaquinone Voltage (V. vs. SHE), VQ","Mtr Complex Voltage (V vs. SHE), VMtr",Scale for Dependent Variable,Scale for Independent Variable,"Scale Up Mode (Simple, Stirring with Fixed Density, None, Diffusion with Fixed Density)"
Nickname,Scenario,BargraphLabel,ATPforFuel,NADHforFuel,FdForFuel,energyPerFuelMolecule,molecularWeightFuelMolecule,totalInputPower,totalElectricalPower,stirPower,CO2Method,Mediator,voltageCellTwoAnode,voltageCellTwoAnodeBias,voltageCellTwoCathode,voltageCellTwoCathodeBias,voltageCellTwo,voltageMembrane,vAcceptor,vQuinone,vMtr,dependentVariableScale,independentVariableScale,scaleUpMode
Pentane_CBB_EEU,Pentane_CBB_EEU,Pentane_CBB_EEU,23,16,0,5.87E-18,72.15,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Hexane_CBB_EEU,Hexane_CBB_EEU,Hexane_CBB_EEU,27,19,0,6.91E-18,86.175,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Heptane_CBB_EEU,Heptane_CBB_EEU,Heptane_CBB_EEU,31,22,0,8.00E-18,100.2,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Octane_CBB_EEU,Octane_CBB_EEU,Octane_CBB_EEU,35,25,0,9.02E-18,114.225,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Nonane_CBB_EEU,Nonane_CBB_EEU,Nonane_CBB_EEU,39,28,0,1.02E-17,128.25,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Decane_CBB_EEU,Decane_CBB_EEU,Decane_CBB_EEU,43,31,0,1.13E-17,142.275,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Undecane_CBB_EEU,Undecane_CBB_EEU,Undecane_CBB_EEU,47,34,0,1.23E-17,156.3,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Dodecane_CBB_EEU,Dodecane_CBB_EEU,Dodecane_CBB_EEU,51,37,0,1.31E-17,170.325,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Tridecane_CBB_EEU,Tridecane_CBB_EEU,Tridecane_CBB_EEU,55,40,0,1.45E-17,184.35,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Tetradecane_CBB_EEU,Tetradecane_CBB_EEU,Tetradecane_CBB_EEU,59,43,0,1.56E-17,198.375,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Pentadecane_CBB_EEU,Pentadecane_CBB_EEU,Pentadecane_CBB_EEU,63,46,0,1.67E-17,212.4,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Hexadecane_CBB_EEU,Hexadecane_CBB_EEU,Hexadecane_CBB_EEU,67,49,0,1.78E-17,226.425,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Heptadecane_CBB_EEU,Heptadecane_CBB_EEU,Heptadecane_CBB_EEU,71,52,0,1.88E-17,240.45,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Pentane_CBB_H2,Pentane_CBB_H2,Pentane_CBB_H2,23,16,0,5.87E-18,72.15,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Hexane_CBB_H2,Hexane_CBB_H2,Hexane_CBB_H2,27,19,0,6.91E-18,86.175,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Heptane_CBB_H2,Heptane_CBB_H2,Heptane_CBB_H2,31,22,0,8.00E-18,100.2,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Octane_CBB_H2,Octane_CBB_H3,Octane_CBB_H4,35,25,0,9.02E-18,114.225,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Nonane_CBB_H2,Nonane_CBB_H3,Nonane_CBB_H4,39,28,0,1.02E-17,128.25,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Decane_CBB_H2,Decane_CBB_H3,Decane_CBB_H4,43,31,0,1.13E-17,142.275,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Undecane_CBB_H2,Undecane_CBB_H2,Undecane_CBB_H2,47,34,0,1.23E-17,156.3,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Dodecane_CBB_H2,Dodecane_CBB_H2,Dodecane_CBB_H2,51,37,0,1.31E-17,170.325,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Tridecane_CBB_H2,Tridecane_CBB_H2,Tridecane_CBB_H2,55,40,0,1.45E-17,184.35,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Tetradecane_CBB_H2,Tetradecane_CBB_H2,Tetradecane_CBB_H2,59,43,0,1.56E-17,198.375,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Pentadecane_CBB_H2,Pentadecane_CBB_H2,Pentadecane_CBB_H2,63,46,0,1.67E-17,212.4,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Hexadecane_CBB_H2,Hexadecane_CBB_H2,Hexadecane_CBB_H2,67,49,0,1.78E-17,226.425,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Heptadecane_CBB_H2,Heptadecane_CBB_H2,Heptadecane_CBB_H2,71,52,0,1.88E-17,240.45,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
