Scenario Nickname,Scenario,Bargraph Label,"Number of ATPs, nf, ATP","Number of NAD(P)H, nf, NADH","Number of Ferredoxin (Fd), nf, Fd","Energy Density of Fuel Molecule (J molecule-1), Efuel",Molecular Weight (g),Input Solar Power (W),Total Available Electrical Power (W),Stirring Power (W),CO2 Fixation Method,Electrode to Microbe Mediator,Bio-cell Anode Half-reaction Thermodynamic Potential (V vs. SHE),Bio-cell Anode Half-reaction Bias Voltage (V),Bio-cell Cathode Half-reaction Thermodynamic Potential (V vs. SHE),Bio-cell Cathode Half-reaction Bias Voltage (V vs. SHE),"Bio-cell Voltage (V), ΔV2","Membrane Potential (mV), ΔVmembrane","Acceptor Voltage (V vs. SHE), Vacceptor","Menaquinone Voltage (V. vs. SHE), VQ","Mtr Complex Voltage (V vs. SHE), VMtr",Scale for Dependent Variable,Scale for Independent Variable,"Scale Up Mode (Simple, Stirring with Fixed Density, None, Diffusion with Fixed Density)"
Nickname,Scenario,BargraphLabel,ATPforFuel,NADHforFuel,FdForFuel,energyPerFuelMolecule,molecularWeightFuelMolecule,totalInputPower,totalElectricalPower,stirPower,CO2Method,Mediator,voltageCellTwoAnode,voltageCellTwoAnodeBias,voltageCellTwoCathode,voltageCellTwoCathodeBias,voltageCellTwo,voltageMembrane,vAcceptor,vQuinone,vMtr,dependentVariableScale,independentVariableScale,scaleUpMode
Pentane_CBB_EEU,Pentane_CBB_EEU,Pentane_CBB_EEU,23.00523035666980,18.003404430462600,0,5.87E-18,72.15,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Hexane_CBB_EEU,Hexane_CBB_EEU,Hexane_CBB_EEU,22.92541866741510,20.94031449061700,0,6.91E-18,86.175,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Heptane_CBB_EEU,Heptane_CBB_EEU,Heptane_CBB_EEU,31.000665312670200,24.000702903271400,0,8E-18,100.2,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Octane_CBB_EEU,Octane_CBB_EEU,Octane_CBB_EEU,31.00551545953780,27.004143538257600,0,9.02E-18,114.225,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Nonane_CBB_EEU,Nonane_CBB_EEU,Nonane_CBB_EEU,39.00017926345670,30.0001791202574,0,1.02E-17,128.25,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Decane_CBB_EEU,Decane_CBB_EEU,Decane_CBB_EEU,39.01124124743730,33.00890386247190,0,1.13E-17,142.275,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Undecane_CBB_EEU,Undecane_CBB_EEU,Undecane_CBB_EEU,46.96253063497630,35.97309363620940,0,1.23E-17,156.3,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Dodecane_CBB_EEU,Dodecane_CBB_EEU,Dodecane_CBB_EEU,47.09420554389400,39.070913906773800,0,1.31E-17,170.325,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Tridecane_CBB_EEU,Tridecane_CBB_EEU,Tridecane_CBB_EEU,54.917052794713800,41.938608447234700,0,1.45E-17,184.35,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Tetradecane_CBB_EEU,Tetradecane_CBB_EEU,Tetradecane_CBB_EEU,54.956529107507100,44.95548971257230,0,1.56E-17,198.375,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Pentadecane_CBB_EEU,Pentadecane_CBB_EEU,Pentadecane_CBB_EEU,63.0514232307535,48.03810064413420,0,1.67E-17,212.4,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Hexadecane_CBB_EEU,Hexadecane_CBB_EEU,Hexadecane_CBB_EEU,63,51,0,1.78E-17,226.425,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Pentane_CBB_H2,Pentane_CBB_H2,Pentane_CBB_H2,23.00523035666980,18.003404430462600,0,5.87E-18,72.15,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Hexane_CBB_H2,Hexane_CBB_H2,Hexane_CBB_H2,22.92541866741510,20.94031449061700,0,6.91E-18,86.175,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Heptane_CBB_H2,Heptane_CBB_H2,Heptane_CBB_H2,31.000665312670200,24.000702903271400,0,8E-18,100.2,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Octane_CBB_H2,Octane_CBB_H3,Octane_CBB_H4,31.00551545953780,27.004143538257600,0,9.02E-18,114.225,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Nonane_CBB_H2,Nonane_CBB_H3,Nonane_CBB_H4,39.00017926345670,30.0001791202574,0,1.02E-17,128.25,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Decane_CBB_H2,Decane_CBB_H3,Decane_CBB_H4,39.01124124743730,33.00890386247190,0,1.13E-17,142.275,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Undecane_CBB_H2,Undecane_CBB_H2,Undecane_CBB_H2,46.96253063497630,35.97309363620940,0,1.23E-17,156.3,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Dodecane_CBB_H2,Dodecane_CBB_H2,Dodecane_CBB_H2,47.09420554389400,39.070913906773800,0,1.31E-17,170.325,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Tridecane_CBB_H2,Tridecane_CBB_H2,Tridecane_CBB_H2,54.917052794713800,41.938608447234700,0,1.45E-17,184.35,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Tetradecane_CBB_H2,Tetradecane_CBB_H2,Tetradecane_CBB_H2,54.956529107507100,44.95548971257230,0,1.56E-17,198.375,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Pentadecane_CBB_H2,Pentadecane_CBB_H2,Pentadecane_CBB_H2,63.0514232307535,48.03810064413420,0,1.67E-17,212.4,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Hexadecane_CBB_H2,Hexadecane_CBB_H2,Hexadecane_CBB_H2,63,51,0,1.78E-17,226.425,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
