"3-Oxohexanoyl-CoA",Intermediate
"3-Oxooctanoyl-CoA",Intermediate
"3R-3-Hydroxybutanoyl-CoA",Intermediate
"ADP",Input/Output
"ATP",Input
"Acetoacetyl-CoA",Intermediate
"Acetyl-CoA",Input/Output
"But-2-enoyl-CoA",Intermediate
"Butanoyl-CoA",Intermediate
"CO2",Input/Output
"CoA",Input/Output
"H2O",Input/Output
"HCO3-",Intermediate
"Heptane",Target
"Hexanoyl-CoA",Intermediate
"Hplus",Input/Output
"Malonyl-CoA",Intermediate
"NADH",Input
"NADPH",Intermediate
"NADPplus",Input/Output
"NADplus",Input/Output
"Octanoic Acid",Intermediate
"Octanoyl-CoA",Intermediate
"Orthophosphate",Input/Output
"S-Hydroxyhexanoyl-CoA",Intermediate
"S-Hydroxyoctanoyl-CoA",Intermediate
"trans-hex-2-enoyl-CoA",Intermediate
"trans-oct-2-enoyl-CoA",Intermediate
"Oxygen",Input/Output
"Octanal",Intermediate
"Formate",Intermediate
